rollout_id,benchmark_task_id,task_name,init_state_index,episode_seed,success,steps,cumulative_reward,initial_observation_sha256,action_sha256,official_libero_initial_state,complete_observations_saved,test_demonstration_episode_used
pretrained-h10-task04-init13,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,13,180413,False,280,0.0,2655314fb249bafe7201a6e9ac6ebbbb91f9c462bb122adfa81a7c5ab26000a5,0865c27c63006a99fd4f4d972cd90f39e397191cbbc27d3f00c9cb54eef3aae1,True,False,False
pretrained-h10-task04-init14,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,14,180414,True,132,1.0,2929a3b5d2b37ca058d852090421e0ac66694bad1839143d57d21331543f32b0,82b931a3bc6a5ec8005a16a5f9525b13f496124fc68233d44cdd631235002c82,True,False,False
pretrained-h10-task05-init03,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,3,180503,False,280,0.0,e3db4bf42289c7822c09e6ad0e734efc1739cc627e738f997fe69b999e870393,9254bd091d8be21fdf46ee444acc951750eb1e35b217ce6bdf682a5226956793,True,False,False
pretrained-h10-task05-init04,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,4,180504,False,280,0.0,7b3dc69e31db85e8ebe3af03755575ac06c50d3f4cf64a69481457bdf967967e,71bccf4ca30d5e584354ec5f7abfb0acb089cc9cece2980577bf8cafbc9c5fa7,True,False,False
pretrained-h10-task05-init05,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,180505,False,280,0.0,7e87cb4dee7a7e38fd8252c934a0a02301ad1c99a32890dd792963d41bb109a7,b9b003180d218785cb8078a1f4fe41c731060ecb049f87b30e52b5a78d93dc34,True,False,False
pretrained-h10-task05-init06,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,6,180506,False,280,0.0,6b5b5c85d0d186f0e280a3c895c277499b1d89193b35f47504a1e3248f034701,b392dbf0a9a88e906815c4f2534180a7f3e0b1d508fcc91c553723c0dd20e9f7,True,False,False
pretrained-h10-task05-init07,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,7,180507,False,280,0.0,379f213e222be74d8666f355afb66db2867493b16eebd1cab09b59b919630f35,aa4779e80b5fbfbf45b6956f240dab670369fe47dcfc94b8e4d248544a2dc368,True,False,False
pretrained-h10-task05-init08,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,8,180508,False,280,0.0,5128403a60cfe6d32998d9a728655cd4e1654725f800a9a8626e4004333a253f,865f4ead1ff41ca16c052fda8a83ee20e1800d5137a4d0b14d141f134d24d049,True,False,False
pretrained-h10-task05-init09,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,9,180509,False,280,0.0,4a750e33b5516a1169f56953ddbbc46ea840dbe498aa5eb84b8c8a01f46a8b5c,185fe4b4b1ff2aa5ffefcb18034eae082b04e00f3dfbee796913de73ccad1de9,True,False,False
pretrained-h10-task05-init10,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,10,180510,False,280,0.0,ee47526fcb82bc4f10e19b8d16fdc88bf0df4c6235fa54c49693dab8e339f476,87e5b115f60b213d45a178656ed511b681f019b5c1a7224037e1c8b5b3dc0032,True,False,False
pretrained-h10-task05-init11,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,11,180511,False,280,0.0,3d73b6905687fe6ce0926bcb7f8f417bfaf7ac4482010f4de844bdf4f7ddab8c,54c728d7396b3e28fa2227a7f850f8b248350ac931cc7c8aae291efc758b977e,True,False,False
pretrained-h10-task05-init12,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,12,180512,False,280,0.0,01c3513e548f9126cb7dd99ffdff5b69dfdbf75d8ed12b666db8b6916d04070a,d032bcf8a6ee50b847f001c6fb22e0f008b2df6c64ac0e4f46e00344f2a97ed1,True,False,False
pretrained-h10-task05-init13,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,13,180513,False,280,0.0,95f1b38eb10e45d94a64348337196b6a7829c3cd51c186fe426f678d6486e8c7,e97f1ba8d1c39238b3b093fc44a4d9a9c0ec3b3bcb13326dc4aaa0389a499a46,True,False,False
pretrained-h10-task05-init14,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,14,180514,False,280,0.0,167c53172a92af13bf31563754c6426ec8b54523c54476dd3e5af097c0e7e0a1,06a7e72a3f26ca4961d20c1599f6c1d5bc98fcbed0b30997ad2ef488b5db6948,True,False,False
pretrained-h10-task07-init03,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,3,180703,True,110,1.0,372c404659b7364a9b636a8b0be27f8a5d0e4d23dba41d521b1f4b4629f52a7c,48af6dfdcb676c55745dcddd56b286987895d131e95434c0ed3ea0551f069a93,True,False,False
pretrained-h10-task07-init04,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,4,180704,True,119,1.0,4d57f799373ce0666a9b9c697f40faa4b08a9c5c2e275d663a6d5cd7903a3268,fcc0b46b69b5faa286cf53f6060c432ff73e3070c1a1beb805ba7e36df30606c,True,False,False
pretrained-h10-task07-init05,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,5,180705,True,120,1.0,d07795d8f6691683e98d6ca17edf6c70392f2aaa3132c215793420afc99e58b4,4a410a88a50d6b8f66581191269958ba28b51437223dd0adb5e952b3be74fcd7,True,False,False
pretrained-h10-task07-init06,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,6,180706,True,108,1.0,b797e87930073e1d8c198e5bb0fc2a0218077f2921bd85d81437ca76a7d18d3e,a4919b2f49c5f782079523a5058fbbb05fe19fdcf238d728bc4b95e7509ed2e1,True,False,False
pretrained-h10-task07-init07,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,180707,True,109,1.0,b0875e24fe26079ed4849134a05133f66c4f00f1295ea27c501b144f6a456c1d,511588a12996f32bf0f73c447b4233544f73b4b6b7f0160dabc57b11b12755cf,True,False,False
pretrained-h10-task07-init08,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,8,180708,False,280,0.0,cda4ff80b50dc0f38f4eff744f81c14f08b8809c560039ac57bb29a8115e0533,e158389b49f24d47b8d05e0a2abcda9ad97704e75d734d4698d2f9c0ba9ef63f,True,False,False
pretrained-h10-task07-init09,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,9,180709,True,124,1.0,3326d98318e7a3778a2cfa0de08f957861a7ba748e791f5c405d44f967402164,3f0edf25a812174ecae57bc8bd9b9b07e31a949e2e7f2b747bb576a9eede9915,True,False,False
pretrained-h10-task07-init10,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,10,180710,False,280,0.0,7d083c3dafebb26be31e41f698a7dedadd7f8d89bc97074ca71ca4b248eaf95d,c0131a7fe7cdc26ec34f1d6eb1a7d3bceff730f31e6d66e5c9edfadeafd5fdd7,True,False,False
pretrained-h10-task07-init11,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,11,180711,True,117,1.0,80ea51adb26af1d03fce4d99d149576f96835a847aa90c31bfce96053bf99e28,8700a70d55c59091f6e83dfa9c61557fdd73b0e9c7fd3282e835155efffa15ce,True,False,False
pretrained-h10-task07-init12,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,12,180712,True,104,1.0,fcfa6290ccec4c0e0e953a690fde26dc0f1e68b7113a3106291d0d5f5582bbf3,b7fda5d63dec9ed62e1f199edaa146c6f58209e07ad7dad300d4e37f16ad2ffe,True,False,False
pretrained-h10-task07-init13,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,13,180713,False,280,0.0,799600bbda786951e7f23e728a2d15c11c0d7d188b166b00a2024a35b280152b,a29d4c9144967f204703fc449517339baed0ccc8897eb1ffe59567c907aa94a0,True,False,False
pretrained-h10-task07-init14,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,14,180714,True,122,1.0,bf89496ee7e234e8dae37f1fd76ee62d659d040efb5537cca767918896b4b259,1c2e992ad200c1a1f1f767c29bc0688668e4b36cd842ba47dac9b0f0f50b5aa3,True,False,False
pretrained-h10-task08-init03,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,3,180803,True,92,1.0,80cc0eb2bb529adb581d02cd6a4b7a3d72b6d70714539f0fda3e89ff121e6ea3,e8a319ef833d97b599a1834a5368f3a41a9f0cad1c38c861ce8a0b46c4ce4f1a,True,False,False
pretrained-h10-task08-init04,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,4,180804,False,280,0.0,03de2804b4bb53195eefe76479a8f1457e3c5d2f860223311cd80bdf84f0ef16,0b0fdf1699ee0654c807ceb27fb4df4be9f7d0cc1f5da7dc998056eaeade7fb3,True,False,False
pretrained-h10-task08-init05,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,5,180805,True,91,1.0,31800b76618a161e6a7d86bd25ff46a0504be5f7c49074e30c4cc5d7981a66e4,db7e1b1de677c1fb9cc04a24a547cfd7d0abc1a1b7f280d2d29e4158bc09cf51,True,False,False
pretrained-h10-task08-init06,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,6,180806,True,89,1.0,a65ac8272f519e8f96d79214bea3ee2fc3330fc929622d9f5ec2f31844313e16,7d6d9a4fc82fde7a692767e3f71720b3e0f1be04943d193f6e246ada6beafe94,True,False,False
pretrained-h10-task08-init07,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,7,180807,True,89,1.0,ba29198bfaa5ef1cae57d1c648e0c6340704e0303deaa2b4ec194f332f212ed9,ec751cb80cc5aa29d75b503ff7d07899ea68f9a6b3493ba6fa4ee965d9569fcf,True,False,False
pretrained-h10-task08-init08,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,180808,False,280,0.0,2d996468cf3a1a9d73527f23fbb9d2ea789f49268b57561bfc9efda692887139,fa81d6bce8a5a77b58392f7520cae7df6dc32f568a529825b192ec87ae3d89b4,True,False,False
pretrained-h10-task08-init09,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,9,180809,True,92,1.0,092687796e52add803d14f8cbd12a2732d8df6b566ee706357066de7ceb2d713,2a54a06dfc08a6fcb581c80476888d79b661136cd7989a62469d676ef431ac75,True,False,False
pretrained-h10-task08-init10,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,10,180810,True,92,1.0,5d43c9033f44a9ef6c9971b88f78160f800a3578c85c161d674a9db0ca39f387,e663d8e4f75b33b63823f97a41873e53ed8c8d2893604a045b93abea6f45f225,True,False,False
pretrained-h10-task08-init11,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,11,180811,True,94,1.0,338db1a2d63c118d04002de365c23ce34c1feaff1a38e8ee8623c50301748bd7,3281b69e5e205cbcb6a0333a2a821fea3ab92086f43ec372b30f0d340af10d74,True,False,False
pretrained-h10-task08-init12,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,12,180812,True,108,1.0,dbd8d0bc892898bff4fba04cc7f0343a5b45ce08e4418afba3716d059d8deee7,dfdf4b0d14b34fdbde76d8c517a625df397ca0fea44ec71f970e770645d2e8f4,True,False,False
pretrained-h10-task08-init13,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,13,180813,True,91,1.0,969993914c8320036c18a90a4b96f8a7a09951c30d97d6b0215f5b6c174af4e3,5f83c570c50beb3145b92e8e11ad40900340e2865d7c4766bcb622559a238eea,True,False,False
pretrained-h10-task08-init14,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,14,180814,True,91,1.0,c71ee540e387394dcbb486e8992d3108ed78894f6b7a7935efcd1ac486b43a5a,43df8b452c51a4612d44c56a96864a9a626b3e337167606ba6a8aff6af16281e,True,False,False
